
C:\Users\smmse\OneDrive\Documents\AppsServicio\NODOS-GIT\Front_Nodos\src\pages\tablaRegistros.jsx
    3:8   error    'React' is defined but never used                                                                                                                                                                                                                      no-unused-vars
    7:41  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
    8:45  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
    9:47  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   10:64  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   11:74  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   12:37  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   13:49  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   14:49  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   15:47  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   16:55  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   17:49  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   18:55  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   19:47  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   20:41  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   21:47  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   22:61  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   23:71  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   24:47  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   25:35  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   38:29  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
   39:43  error    React Hook "useState" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"   react-hooks/rules-of-hooks
  487:5   error    React Hook "useEffect" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"  react-hooks/rules-of-hooks
  501:5   error    React Hook "useEffect" is called in function "tablaRegistros" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word "use"  react-hooks/rules-of-hooks
  503:8   warning  React Hook useEffect has a missing dependency: 'fetchNodos'. Either include it or remove the dependency array                                                                                                                                          react-hooks/exhaustive-deps

 25 problems (24 errors, 1 warning)

